System nameplate capacity (kWdc),Analysis period (years),NPV Net present value ($)
4.5,6,2135.44
4.6,6,2182.9
4.7,6,2230.35
4.8,6,2277.8
4.9,6,2325.26
5,6,2372.71
5.1,6,2420.17
5.2,6,2467.62
5.3,6,2515.08
5.4,6,2562.53
5.5,6,2609.98
5.6,6,2657.44
5.7,6,2704.89
5.8,6,2752.35
5.9,6,2799.8
6,6,2847.26
6.1,6,2891.83
6.2,6,2932.33
6.3,6,2971.85
6.4,6,3011.37
6.5,6,3050.89
6.6,6,3090.41
6.7,6,3129.93
6.8,6,3169.45
6.9,6,3208.97
7,6,3248.49
7.1,6,3288.01
7.2,6,3327.53
7.3,6,3367.05
7.4,6,3396.26
7.5,6,3396.42
7.6,6,3375.38
2.4,7,1409.58
2.5,7,1468.32
2.6,7,1527.05
2.7,7,1585.78
2.8,7,1644.52
2.9,7,1703.25
3,7,1761.98
3.1,7,1820.71
3.2,7,1879.45
3.3,7,1938.18
3.4,7,1996.91
3.5,7,2055.64
3.6,7,2114.38
3.7,7,2173.11
3.8,7,2231.84
3.9,7,2290.58
4,7,2349.31
4.1,7,2408.04
4.2,7,2466.77
4.3,7,2525.51
4.4,7,2584.24
4.5,7,2642.97
4.6,7,2701.7
4.7,7,2760.44
4.8,7,2819.17
4.9,7,2877.9
5,7,2936.64
5.1,7,2995.37
5.2,7,3054.1
5.3,7,3112.83
5.4,7,3171.57
5.5,7,3230.3
5.6,7,3289.03
5.7,7,3347.76
5.8,7,3406.5
5.9,7,3465.23
6,7,3523.96
6.1,7,3579.82
6.2,7,3631.48
6.3,7,3681.24
6.4,7,3731
6.5,7,3780.76
6.6,7,3830.52
6.7,7,3880.28
6.8,7,3930.04
6.9,7,3979.8
7,7,4029.56
7.1,7,4079.32
7.2,7,4129.08
7.3,7,4178.84
7.4,7,4218.29
7.5,7,4228.69
7.6,7,4214.84
2.4,8,1662.51
2.5,8,1731.78
2.6,8,1801.05
2.7,8,1870.32
2.8,8,1939.59
2.9,8,2008.86
3,8,2078.14
3.1,8,2147.41
3.2,8,2216.68
3.3,8,2285.95
3.4,8,2355.22
3.5,8,2424.49
3.6,8,2493.76
3.7,8,2563.03
3.8,8,2632.31
3.9,8,2701.58
4,8,2770.85
4.1,8,2840.12
4.2,8,2909.39
4.3,8,2978.66
4.4,8,3047.93
4.5,8,3117.2
4.6,8,3186.48
4.7,8,3255.75
4.8,8,3325.02
4.9,8,3394.29
5,8,3463.56
5.1,8,3532.83
5.2,8,3602.1
5.3,8,3671.37
5.4,8,3740.64
5.5,8,3809.92
5.6,8,3879.19
5.7,8,3948.46
5.8,8,4017.73
5.9,8,4087
6,8,4156.27
6.1,8,4222.67
6.2,8,4284.87
6.3,8,4344.4
6.4,8,4403.72
6.5,8,4463.05
6.6,8,4522.38
6.7,8,4581.7
6.8,8,4641.03
6.9,8,4700.36
7,8,4759.68
7.1,8,4819.01
7.2,8,4878.34
7.3,8,4937.66
7.4,8,4986.68
7.5,8,5006.65
7.6,8,5002.36
2.4,9,1898.84
2.5,9,1977.96
2.6,9,2057.07
2.7,9,2136.19
2.8,9,2215.31
2.9,9,2294.43
3,9,2373.55
3.1,9,2452.67
3.2,9,2531.78
3.3,9,2610.9
3.4,9,2690.02
3.5,9,2769.14
3.6,9,2848.26
3.7,9,2927.38
3.8,9,3006.49
3.9,9,3085.61
4,9,3164.73
4.1,9,3243.85
4.2,9,3322.97
4.3,9,3402.08
4.4,9,3481.2
4.5,9,3560.32
4.6,9,3639.44
4.7,9,3718.56
4.8,9,3797.68
4.9,9,3876.79
5,9,3955.91
5.1,9,4035.03
5.2,9,4114.15
5.3,9,4193.27
5.4,9,4272.39
5.5,9,4351.5
5.6,9,4430.62
5.7,9,4509.74
5.8,9,4588.86
5.9,9,4667.98
6,9,4747.09
6.1,9,4823.33
6.2,9,4895.39
6.3,9,4964.32
6.4,9,5032.59
6.5,9,5100.85
6.6,9,5169.12
6.7,9,5237.38
6.8,9,5305.65
6.9,9,5373.91
7,9,5442.18
7.1,9,5510.44
7.2,9,5578.71
7.3,9,5646.98
7.4,9,5704.93
7.5,9,5733.84
7.6,9,5738.49
2.4,10,2119.66
2.5,10,2207.98
2.6,10,2296.3
2.7,10,2384.62
2.8,10,2472.94
2.9,10,2561.26
3,10,2649.58
3.1,10,2737.89
3.2,10,2826.21
3.3,10,2914.53
3.4,10,3002.85
3.5,10,3091.17
3.6,10,3179.49
3.7,10,3267.81
3.8,10,3356.13
3.9,10,3444.45
4,10,3532.77
4.1,10,3621.09
4.2,10,3709.41
4.3,10,3797.72
4.4,10,3886.04
4.5,10,3974.36
4.6,10,4062.68
4.7,10,4151
4.8,10,4239.32
4.9,10,4327.64
5,10,4415.96
5.1,10,4504.28
5.2,10,4592.6
5.3,10,4680.92
5.4,10,4769.24
5.5,10,4857.55
5.6,10,4945.87
5.7,10,5034.19
5.8,10,5122.51
5.9,10,5210.83
6,10,5299.15
6.1,10,5384.59
6.2,10,5465.84
6.3,10,5543.84
6.4,10,5620.45
6.5,10,5697.07
6.6,10,5773.69
6.7,10,5850.3
6.8,10,5926.92
6.9,10,6003.54
7,10,6080.15
7.1,10,6156.77
7.2,10,6233.39
7.3,10,6310
7.4,10,6376.31
7.5,10,6413.57
7.6,10,6426.57
2.4,11,2325.99
2.5,11,2422.91
2.6,11,2519.82
2.7,11,2616.74
2.8,11,2713.66
2.9,11,2810.57
3,11,2907.49
3.1,11,3004.41
3.2,11,3101.32
3.3,11,3198.24
3.4,11,3295.15
3.5,11,3392.07
3.6,11,3488.99
3.7,11,3585.9
3.8,11,3682.82
3.9,11,3779.74
4,11,3876.65
4.1,11,3973.57
4.2,11,4070.49
4.3,11,4167.4
4.4,11,4264.32
4.5,11,4361.23
4.6,11,4458.15
4.7,11,4555.07
4.8,11,4651.98
4.9,11,4748.9
5,11,4845.82
5.1,11,4942.73
5.2,11,5039.65
5.3,11,5136.56
5.4,11,5233.48
5.5,11,5330.4
5.6,11,5427.31
5.7,11,5524.23
5.8,11,5621.15
5.9,11,5718.06
6,11,5814.98
6.1,11,5909.02
6.2,11,5998.87
6.3,11,6085.46
6.4,11,6170
6.5,11,6254.41
6.6,11,6338.83
6.7,11,6423.25
6.8,11,6507.67
6.9,11,6592.09
7,11,6676.51
7.1,11,6760.93
7.2,11,6845.35
7.3,11,6929.77
7.4,11,7003.88
7.5,11,7048.94
7.6,11,7069.74
2.4,12,2518.78
2.5,12,2623.73
2.6,12,2728.68
2.7,12,2833.63
2.8,12,2938.58
2.9,12,3043.53
3,12,3148.48
3.1,12,3253.43
3.2,12,3358.38
3.3,12,3463.33
3.4,12,3568.28
3.5,12,3673.22
3.6,12,3778.17
3.7,12,3883.12
3.8,12,3988.07
3.9,12,4093.02
4,12,4197.97
4.1,12,4302.92
4.2,12,4407.87
4.3,12,4512.82
4.4,12,4617.77
4.5,12,4722.72
4.6,12,4827.67
4.7,12,4932.62
4.8,12,5037.57
4.9,12,5142.51
5,12,5247.46
5.1,12,5352.41
5.2,12,5457.36
5.3,12,5562.31
5.4,12,5667.26
5.5,12,5772.21
5.6,12,5877.16
5.7,12,5982.11
5.8,12,6087.06
5.9,12,6192.01
6,12,6296.96
6.1,12,6399.03
6.2,12,6496.91
6.3,12,6591.54
6.4,12,6683.71
6.5,12,6775.42
6.6,12,6867.12
6.7,12,6958.83
6.8,12,7050.54
6.9,12,7142.25
7,12,7233.96
7.1,12,7325.67
7.2,12,7417.38
7.3,12,7509.09
7.4,12,7590.49
7.5,12,7642.84
7.6,12,7670.93
2.4,13,2698.92
2.5,13,2811.38
2.6,13,2923.83
2.7,13,3036.29
2.8,13,3148.74
2.9,13,3261.2
3,13,3373.65
3.1,13,3486.11
3.2,13,3598.56
3.3,13,3711.02
3.4,13,3823.47
3.5,13,3935.93
3.6,13,4048.38
3.7,13,4160.84
3.8,13,4273.29
3.9,13,4385.75
4,13,4498.2
4.1,13,4610.66
4.2,13,4723.11
4.3,13,4835.57
4.4,13,4948.02
4.5,13,5060.48
4.6,13,5172.93
4.7,13,5285.39
