Cost ($/Wdc),Years,NPV,Simple Payback,Total Installed Cost
2,12,-2966.31,9.9226,10600
0.1,13,7501.92,0.540565,530
0.2,13,6971.92,1.07961,1060
0.3,13,6441.92,1.61006,1590
0.4,13,5911.92,2.13787,2120
0.5,13,5381.92,2.65839,2650
0.6,13,4851.92,3.17556,3180
0.7,13,4321.92,3.68634,3710
0.8,13,3791.92,4.19343,4240
0.9,13,3261.92,4.69465,4770
1,13,2731.92,5.19221,5300
1.1,13,2201.92,5.68406,5830
1.2,13,1671.92,6.17262,6360
1.3,13,1141.92,6.65527,6890
1.4,13,611.922,7.13534,7420
1.5,13,81.9218,7.60897,7950
1.6,13,-448.078,8.08106,8480
1.7,13,-978.078,8.54584,9010
1.8,13,-1508.08,9.01042,9540
1.9,13,-2038.08,9.46651,10070
2,13,-2568.08,9.9226,10600
0.1,14,7874.01,0.540565,530
0.2,14,7344.01,1.07961,1060
0.3,14,6814.01,1.61006,1590
0.4,14,6284.01,2.13787,2120
0.5,14,5754.01,2.65839,2650
0.6,14,5224.01,3.17556,3180
0.7,14,4694.01,3.68634,3710
0.8,14,4164.01,4.19343,4240
0.9,14,3634.01,4.69465,4770
1,14,3104.01,5.19221,5300
1.1,14,2574.01,5.68406,5830
1.2,14,2044.01,6.17262,6360
1.3,14,1514.01,6.65527,6890
1.4,14,984.012,7.13534,7420
1.5,14,454.012,7.60897,7950
1.6,14,-75.9882,8.08106,8480
1.7,14,-605.988,8.54584,9010
1.8,14,-1135.99,9.01042,9540
1.9,14,-1665.99,9.46651,10070
2,14,-2195.99,9.9226,10600
0.1,15,8221.68,0.540565,530
0.2,15,7691.68,1.07961,1060
0.3,15,7161.68,1.61006,1590
0.4,15,6631.68,2.13787,2120
0.5,15,6101.68,2.65839,2650
0.6,15,5571.68,3.17556,3180
0.7,15,5041.68,3.68634,3710
0.8,15,4511.68,4.19343,4240
0.9,15,3981.68,4.69465,4770
1,15,3451.68,5.19221,5300
1.1,15,2921.68,5.68406,5830
1.2,15,2391.68,6.17262,6360
1.3,15,1861.68,6.65527,6890
1.4,15,1331.68,7.13534,7420
1.5,15,801.678,7.60897,7950
1.6,15,271.678,8.08106,8480
1.7,15,-258.322,8.54584,9010
1.8,15,-788.322,9.01042,9540
1.9,15,-1318.32,9.46651,10070
2,15,-1848.32,9.9226,10600
0.1,16,8546.52,0.540565,530
0.2,16,8016.52,1.07961,1060
0.3,16,7486.52,1.61006,1590
0.4,16,6956.52,2.13787,2120
0.5,16,6426.52,2.65839,2650
0.6,16,5896.52,3.17556,3180
0.7,16,5366.52,3.68634,3710
0.8,16,4836.52,4.19343,4240
0.9,16,4306.52,4.69465,4770
1,16,3776.52,5.19221,5300
1.1,16,3246.52,5.68406,5830
1.2,16,2716.52,6.17262,6360
1.3,16,2186.52,6.65527,6890
1.4,16,1656.52,7.13534,7420
1.5,16,1126.52,7.60897,7950
1.6,16,596.523,8.08106,8480
1.7,16,66.5233,8.54584,9010
1.8,16,-463.477,9.01042,9540
1.9,16,-993.477,9.46651,10070
2,16,-1523.48,9.9226,10600
0.1,17,8850.04,0.540565,530
0.2,17,8320.04,1.07961,1060
0.3,17,7790.04,1.61006,1590
0.4,17,7260.04,2.13787,2120
0.5,17,6730.04,2.65839,2650
0.6,17,6200.04,3.17556,3180
0.7,17,5670.04,3.68634,3710
0.8,17,5140.04,4.19343,4240
0.9,17,4610.04,4.69465,4770
1,17,4080.04,5.19221,5300
1.1,17,3550.04,5.68406,5830
1.2,17,3020.04,6.17262,6360
1.3,17,2490.04,6.65527,6890
1.4,17,1960.04,7.13534,7420
1.5,17,1430.04,7.60897,7950
1.6,17,900.043,8.08106,8480
1.7,17,370.043,8.54584,9010
1.8,17,-159.957,9.01042,9540
1.9,17,-689.957,9.46651,10070
2,17,-1219.96,9.9226,10600
0.1,18,9133.64,0.540565,530
0.2,18,8603.64,1.07961,1060
0.3,18,8073.64,1.61006,1590
0.4,18,7543.64,2.13787,2120
0.5,18,7013.64,2.65839,2650
0.6,18,6483.64,3.17556,3180
0.7,18,5953.64,3.68634,3710
0.8,18,5423.64,4.19343,4240
0.9,18,4893.64,4.69465,4770
1,18,4363.64,5.19221,5300
1.1,18,3833.64,5.68406,5830
1.2,18,3303.64,6.17262,6360
1.3,18,2773.64,6.65527,6890
1.4,18,2243.64,7.13534,7420
1.5,18,1713.64,7.60897,7950
1.6,18,1183.64,8.08106,8480
1.7,18,653.636,8.54584,9010
1.8,18,123.636,9.01042,9540
1.9,18,-406.364,9.46651,10070
2,18,-936.364,9.9226,10600
0.1,19,9398.61,0.540565,530
0.2,19,8868.61,1.07961,1060
0.3,19,8338.61,1.61006,1590
0.4,19,7808.61,2.13787,2120
0.5,19,7278.61,2.65839,2650
0.6,19,6748.61,3.17556,3180
0.7,19,6218.61,3.68634,3710
0.8,19,5688.61,4.19343,4240
0.9,19,5158.61,4.69465,4770
1,19,4628.61,5.19221,5300
1.1,19,4098.61,5.68406,5830
1.2,19,3568.61,6.17262,6360
1.3,19,3038.61,6.65527,6890
1.4,19,2508.61,7.13534,7420
1.5,19,1978.61,7.60897,7950
1.6,19,1448.61,8.08106,8480
1.7,19,918.609,8.54584,9010
1.8,19,388.609,9.01042,9540
1.9,19,-141.391,9.46651,10070
2,19,-671.391,9.9226,10600
0.1,20,9646.18,0.540565,530
0.2,20,9116.18,1.07961,1060
0.3,20,8586.18,1.61006,1590
0.4,20,8056.18,2.13787,2120
0.5,20,7526.18,2.65839,2650
0.6,20,6996.18,3.17556,3180
0.7,20,6466.18,3.68634,3710
0.8,20,5936.18,4.19343,4240
0.9,20,5406.18,4.69465,4770
1,20,4876.18,5.19221,5300
1.1,20,4346.18,5.68406,5830
1.2,20,3816.18,6.17262,6360
1.3,20,3286.18,6.65527,6890
1.4,20,2756.18,7.13534,7420
1.5,20,2226.18,7.60897,7950
1.6,20,1696.18,8.08106,8480
1.7,20,1166.18,8.54584,9010
1.8,20,636.183,9.01042,9540
1.9,20,106.183,9.46651,10070
2,20,-423.817,9.9226,10600
